,,,,,,,,,,,,,,,,,,,,,,
SamplingDate,SO2_6AM_10AM,SO2_10AM_2PM,SO2_2PM_6PM,SO2_6PM_10PM,SO2_10PM_2AM,SO2_2AM_6AM,NO2_6AM_10AM,NO2_10AM_2PM,NO2_2PM_6PM,NO2_6PM_10PM,NO2_10PM_2AM,NO2_2AM_6AM,RSPM_6AM_2PM,RSPM_2PM_10PM,RSPM_10PM_6AM,SPM_6AM_2PM,SPM_2PM_10PM,SPM_10PM_6AM,RSPM,SO2,SPM,NO2
2/12/2009,,4,8,8.9,4,4,,16.1,15,27.9,21.4,17.1,53,5,85,97,18,91,47.6666,5.7799,68.6666,19.5
7/12/2009,,4,4,4,4,4,,16.1,20.4,36.4,23.6,13.9,54,65,67,193,199,80,62,4,157.3333,22.08
19/08/2009,,10.8,17.9,21.7,4,4,,24.6,24.6,25.7,21.4,16.1,50,30,34,81,55,48,38,11.68,61.3333,22.48
24/08/2009,,4.2,4,4,4,4,,24.6,19.3,15,27.8,20.4,25,29,14,46,68,16,22.6666,4.04,43.3333,21.42
26/08/2009,,5.2,6.1,4,4,4,,19.3,20.4,21.4,18.2,13.9,125,173,85,628,721,272,127.6666,4.66,540.3333,18.64
31/08/2009,,5.7,7.1,4,4,4,,49.3,62.1,65.4,53.6,47.1,87,69,39,208,142,60,65,4.96,136.6666,55.5
25/03/2009,,4,4,4,4,4,,31,45,38,29,22,55,74,85,96,104,99,71.3333,4,99.6666,33
7/9/2009,4,6.1,4.7,4,4,4,27.9,20.4,19.3,22.5,28.9,21.4,39,42,22,111,125,48,34.3333,4.4666,94.6666,23.4
9/9/2009,,4,4,7.5,4,4,,20.4,28.9,24.6,16,19.3,95,31,32,192,77,45,52.6666,4.7,104.6666,21.84
14/09/2009,4,7.5,4,4,4,4,20.4,39.6,16.1,13.9,24.6,15,30,40,47,72,81,55,39,4.5833,69.3333,21.6
16/09/2009,,,4.7,5.2,4,4,,,20.4,26.8,19.3,20.4,,96,73,,130,79,84.5,4.475,104.5,21.725
23/09/2009,,,4,4,5.2,8,,,24.6,34.3,30,32.1,,53,26,,134,57,39.5,5.3,95.5,30.25
