,,,,,,,,,,,,,,,,,,,,,,
SamplingDate,SO2_6AM_10AM,SO2_10AM_2PM,SO2_2PM_6PM,SO2_6PM_10PM,SO2_10PM_2AM,SO2_2AM_6AM,NO2_6AM_10AM,NO2_10AM_2PM,NO2_2PM_6PM,NO2_6PM_10PM,NO2_10PM_2AM,NO2_2AM_6AM,RSPM_6AM_2PM,RSPM_2PM_10PM,RSPM_10PM_6AM,SPM_6AM_2PM,SPM_2PM_10PM,SPM_10PM_6AM,RSPM,SO2,SPM,NO2
30/09/2009,,13.2,15,4,4,4,,25.7,19.3,17.1,21.4,16,,33,34,,133,169,33.5,8.04,151,19.9
2/2/2011,,4,4,4,4,4,,17.1,18.2,20.3,32.1,21.4,96,142,66,274,565,129,101.3333,4,322.6666,21.82
7/2/2011,,4,4,4,4,9.8,,19.3,22.5,25.7,20.3,23.6,91,51,140,191,91,154,94,5.16,145.3333,22.28
9/2/2011,,4,4,4,4,4,,28.9,20.3,24.6,21.4,15,26,88,89,148,203,188,67.6666,4,179.6666,22.04
14/02/2011,,4,4,4,4,4,,33.2,25.7,22.5,19.3,22.5,71,67,107,118,181,215,81.6666,4,171.3333,24.64
21/02/2011,,4,4,4,4,4,,25.7,20.3,19.3,21.4,16.1,129,25,48,562,65,75,67.3333,4,234,20.56
23/02/2011,,4,4,4,4,4,,19.3,25.7,20.3,24.6,19.3,50,35,39,166,99,51,41.3333,4,105.3333,21.84
5/10/2009,,19.8,8.5,7,8.5,8.5,,20.4,13.9,45,17.1,14,89,65,16,458,195,46,56.6666,10.46,233,22.08
7/10/2009,,8,4,4,4,4,,20.4,13.9,16.1,12.9,15,40,48,29,87,93,47,39,4.8,75.6666,15.66
12/10/2009,,4,4,7.5,4.7,4,,16,27,39.2,33.2,30,92,90,86,153,127,96,89.3333,4.84,125.3333,29.08
14/10/2009,4,6.6,8,4,4.2,4,19.3,21.4,31,30,10.7,10.7,72,87,97,85,96,134,85.3333,5.1333,105,20.5166
21/10/2009,,22.6,25.4,4,4,4,,10.7,14,13,14,17,70,37,94,133,97,149,67,12,126.3333,13.74
26/10/2009,,4,4,5.7,4.2,5.2,,13.9,16.1,20.4,18.2,13.9,128,26,78,243,82,90,77.3333,4.62,138.3333,16.5
28/10/2009,,8,4,4,9.4,4,,35.4,49.3,21.4,42.9,27.9,43,38,39,167,131,43,40,5.88,113.6666,35.38
9/12/2009,,7.1,9.9,4,4,4,,33.2,50.4,30,22.5,19.3,48,85,52,98,123,59,61.6666,5.8,93.3333,31.08
14/12/2009,,4,4,9.9,4,11.8,,20.4,17.1,10.7,13.9,16.1,154,47,60,261,75,140,87,6.74,158.6666,15.64
16/12/2009,,4.7,4,4,4,4.2,,28.9,17.1,13.9,17.1,16.1,154,47,60,261,75,140,87,4.18,158.6666,18.62
21/12/2009,4,6.6,4,4,,,37.4,28.9,21.4,16.1,,,31,16,,75,37,,23.5,4.65,56,25.95
23/12/2009,,52,4,4,4,4,,22.5,25.7,20.4,17.1,18.2,56,45,78,125,61,103,59.6666,13.6,96.3333,20.7799
30/12/2009,,4,6.6,5.2,4,4,,26.8,28.9,38.6,16.1,18.2,214,110,220,237,214,243,181.3333,4.76,231.3333,25.72
2/5/2011,4.2,7.5,8.9,7.5,,,34.3,26.8,19.3,13.9,,10,10,28,,22,43,,19,7.025,32.5,20.86
5/5/2011,4,8.5,6.1,5.7,,,52.5,34.3,17.1,13.9,,,30,42,,56,58,,36,6.075,57,29.45
9/5/2011,,4,4,4,,,,16.1,11.8,15,,,50,60,,100,77,,55,,88.5,
12/5/2011,,4,4,4,,,,17.1,22.5,20.3,,,35,26,,77,113,,30.5,,95,
15/05/2011,,4.2,4,4,,,,25.7,16.1,19.3,,,70,62,,169,111,,66,,140,
19/05/2011,,4,4,4,,,,19.3,20.3,13.9,,,20,57,,160,109,,38.5,,134.5,
1/4/2009,7.5,9.1,4,4,7.5,4,45.9,39.2,44.8,51.5,34.7,41.4,182,52,44,347,158,78,92.6666,6.0166,194.3333,42.9166
6/4/2009,5.8,10.8,,4,4,8.3,36.9,32.5,,20.1,38,47,50,104,61,119,167,103,71.6666,6.58,129.6666,34.9
8/4/2009,4,7.5,4,4,,,45.3,49.2,36.9,30.2,,,120,57,,158,96,,88.5,4.875,127,40.4
13/04/2009,4,4,5.1,4,4,4,56,26.9,22.4,44.8,15.7,39.2,135,50,74,159,134,181,86.3333,4.1833,158,34.1666
15/04/2009,4,4.6,6.5,4,4,4,31.3,29.1,25.7,38,26.9,21.3,57,34,17,125,131,28,36,4.5166,94.6666,28.7166
20/04/2009,4,8.8,4,4,6.5,4,22.4,20.1,21.3,17.9,15.7,20.1,23,46,47,70,114,99,38.6666,5.2166,94.3333,19.5833
22/04/2009,4,4,6.9,5.6,4,4,16.8,20.1,19,15.7,14.5,17.9,49,96,40,137,142,46,61.6666,4.75,108.3333,17.3333
27/04/2009,9.3,4,,8.3,4,4,20.1,17.9,,21.5,22.4,26.9,46,,53,104,,111,49.5,5.92,107.5,21.76
29/04/2009,19,15.3,17.1,17.1,4,4,12.3,13.4,15.7,11.2,17.9,15.7,90,45,45,160,115,67,60,12.75,114,14.3666
1/7/2009,,4,5.7,6.6,4,4,,20.4,18.2,22.5,17.1,18.2,43,10,14,142,34,26,22.3333,4.86,67.3333,19.28
13/07/2009,4,4,4.7,4.7,10.4,14.6,26.8,17.1,20.4,22.5,24.6,19.3,57,76,42,130,120,120,58.3333,7.0666,123.3333,21.7833
15/07/2009,4,5.7,8,4,4,4.7,27.1,16,15,19.3,17.1,12.9,25,22,13,34,52,30,20,5.0666,38.6666,17.9
20/07/2009,,6.6,5.7,4,8,4,,21.4,16.1,21.4,26.8,20.4,46,49,30,122,73,53,41.6666,5.66,82.6666,21.22
22/07/2009,,5.7,7.1,4,4,4,,17.1,27.9,19.3,32.9,24.6,56,43,27,248,131,46,42,4.96,141.6666,24.36
27/07/2009,,4,9.9,4,4,4,,32,45,25.7,25.7,28,93,42,21,250,120,46,52,5.18,138.6666,31.28
29/07/2009,,4,4,4,4,4.7,,33.2,46,20.4,49.3,26.8,46,28,43,120,63,49,39,4.14,77.3333,35.14
18/05/2009,,,4,5.6,4,4,,,19,29.1,21.3,20.1,,56,35,,95,63,45.5,4.4,79,22.375
20/05/2009,,17.6,14.8,13.4,16.7,18,,15.7,11.2,12.3,11.2,12.3,61,37,43,95,56,62,47,16.1,71,12.54
25/05/2009,7.9,9.7,4,4,4,4,28,20.1,21.3,12.3,10.1,20.1,118,40,22,167,49,61,60,5.6,92.3333,18.65
27/05/2009,4,4,4,5.6,4,4.6,11.2,11.2,13.4,11.2,11.2,13.4,62,40,32,101,111,43,44.6666,4.3666,85,11.9333
6/7/2009,4,4.2,5.7,4,6.1,7,19.3,21.4,18.2,18.2,24.6,19.3,43,10,14,142,34,26,22.3333,5.1666,67.3333,20.1666
8/7/2009,4,5.1,4,7,4,4,27.9,30,20.4,17.1,17.1,20.4,20,23,23,48,30,48,22,4.6833,42,22.15
19/10/2009,,5.2,7.1,4,4,4,,22.5,41.8,21.4,15,12.9,49,60,63,78,153,184,57.3333,4.86,138.3333,22.72
2/11/2009,,4,4,,,,,16,18.2,,,,149,113,,291,285,,131,,288,
4/11/2009,,4,4,5.7,,,,18.2,11.8,17.1,,,81,68,,438,191,,74.5,,314.5,
9/11/2009,,4,9.9,4,4.2,7.5,,42.9,21.4,17,28.9,32.1,,83,100,,116,175,91.5,5.92,145.5,28.46
11/11/2009,,4.7,,,4,4,,27.9,,,39.6,15,108,,88,118,,102,98,,110,
18/11/2009,,4,5.2,4,4,4,,17.1,19.3,16,32.1,21.4,,86,89,,103,97,87.5,4.24,100,21.18
23/11/2009,,18.8,4,4,8,4,,18.2,18.2,17.1,22.5,16,41,48,58,118,76,68,49,7.76,87.3333,18.4
25/11/2009,,4.2,6.1,8,9.9,8.9,,31,13.9,15,18.2,17.1,44,63,68,104,117,92,58.3333,7.42,104.3333,19.04
30/11/2009,,16,4,10.4,15.5,15.1,,13.9,13.9,20.4,10.7,10.7,94,37,38,223,112,50,56.3333,12.2,128.3333,13.92
2/3/2011,,4,4,4,,,,27.8,20.3,22.5,,,25,63,,72,183,,44,,127.5,
7/3/2011,,4,4,4,4,4,,21.4,24.6,17.1,20.3,22.5,82,75,61,163,106,75,72.6666,4,114.6666,21.18
9/3/2011,,4,4,4,,,,20.3,19.3,25.7,,,97,77,,194,141,,87,,167.5,
14/03/2011,,4,4,4,4,4,,25.7,19.3,22.5,23.6,15,54,54,53,238,75,68,53.6666,4,127,21.22
16/03/2011,,4,,,4,4,,22.5,,,19.3,16.1,69,,31,199,,36,50,,117.5,
21/03/2011,,4,4,4,4,4,,32.1,49.3,32.1,37.5,36.4,48,48,64,151,93,90,53.3333,4,111.3333,37.48
23/03/2011,,4,4,4,4,4,,26.8,31.1,22.5,17.1,19.3,134,55,37,299,97,45,75.3333,4,147,23.36
28/03/2011,,,4,4,,,,,17.1,19.3,,,,43,,,110,,,,,
30/03/2011,,4,4,4,,,,24.6,20.3,21.3,,,59,66,,74,77,,62.5,,75.5,
4/5/2009,4,7.9,4.6,6.9,5.6,6.5,13.4,15.7,13.4,31.3,35.8,12.3,39,44,67,94,180,164,50,5.9166,146,20.3166
6/5/2009,4,4,6.9,4,4,4,13.4,15.7,16.8,15.7,13.4,13.4,44,561,215,76,683,276,273.3333,4.4833,345,14.7333
11/5/2009,5.6,5.1,5.1,6.5,4,4,13.4,14.5,15.7,13.4,14.5,14.5,73,53,30,112,114,74,52,5.05,100,14.3333
3/6/2009,20,20.8,4,4,,,16.8,22.4,16.8,9,,,43,61,,183,117,,52,12.2,150,16.25
8/6/2009,20.8,12.5,17.5,14,21.6,20.8,15.7,21.3,12.3,14.5,13.4,22.4,38,49,48,135,65,56,45,17.8666,85.3333,16.6
10/6/2009,,4,4,15,10,4,,11.2,11.2,13.4,11.2,11.2,43,46,34,79,91,45,41,7.4,71.6666,11.64
15/06/2009,4,9.1,7.5,4,4,4,19.3,16.1,17.1,15,19.3,13.9,40,11,26,100,19,43,25.6666,5.4333,54,16.7833
17/06/2009,7.4,4,4,4,4,4,21.4,35.3,15,9,12.8,9,36,15,29,108,46,64,26.6666,4.5666,72.6666,17.0833
22/06/2009,4,4,12.5,8.3,10.8,7.5,20.6,18.2,16.1,17.1,19.3,13.9,19,76,23,57,187,38,39.3333,7.85,94,17.5333
24/06/2009,,4,4,4,4,4,,20.4,24.6,21.4,17.1,18.2,46,45,23,225,90,33,38,4,116,20.34
29/06/2009,,4.2,4,7,4,4,,26.8,36.4,20.4,24.6,17.1,40,42,27,125,65,50,36.3333,4.64,80,25.06
6/4/2011,,4,4,4,4,4,,24.6,26.8,18.2,22.5,16.1,32,72,68,38,130,82,57.3333,4,83.3333,21.64
18/04/2011,,4,4,4,,4,,28.9,25.7,36.4,,27.8,70,36,,95,44,,53,4,69.5,29.7
20/04/2011,,4,4,4,4,4,,33.2,27.8,36.4,37.5,32.1,47,34,42,71,59,93,41,4,74.3333,33.4
25/04/2011,,4,4,4,4,4,,24.6,20.3,13.9,19.3,21.4,63,15,69,75,34,90,49,4,66.3333,19.9
27/04/2011,,,,4,4,4,,,,61,17.1,36.4,,54,22,,82,33,38,,57.5,
1/6/2009,4,7.5,,8.3,10.8,6.7,24.6,40.3,,39,25.7,35.8,22,47,17,52,59,59,28.6666,7.46,56.6666,33.08
3/8/2009,7.5,5.2,4,4,5.2,4,28.9,31,20.4,24.6,21.4,19.3,42,30,26,99,84,35,32.6666,4.9833,72.6666,24.2666
5/8/2009,,9.9,6.1,4,10.4,4,,21.4,20.4,24.6,21.4,19.3,83,43,22,209,178,74,49.3333,6.88,153.6666,21.42
10/8/2009,,9.4,6.6,4,4,4,,46.1,31.1,38.6,30,27.9,31,36,34,77,125,48,33.6666,5.6,83.3333,34.74
12/8/2009,,7.5,7.1,4,4,4,,28.9,32.1,27.9,21.4,17.1,53,51,39,80,125,54,47.6666,5.32,86.3333,25.48
17/08/2009,,7.5,4.7,4,4,4,,17.1,19.3,13.9,11.8,11.8,117,39,55,125,62,69,70.3333,4.84,85.3333,14.7799
3/11/2007,11.6,15.3,15.8,21.9,21.9,4,29.1,38.6,35.3,38.4,35.8,35.8,49,44,28,55,62,54,40.3333,15.0833,57,35.5
14/11/2007,6.7,6.7,4,6.7,4,4,60.4,30.2,47.7,114,50.4,50.4,141,110,51,151,258,83,100.6666,5.35,164,58.85
31/01/2007,10,8.3,6.7,2,2,2,20.1,25.7,32.5,43.6,29.1,19,52,88,55,171,172,71,65,5.1666,138,28.3333
1/8/2007,,6.7,10,4,8.3,5,,31.3,24.6,24.3,22.4,17.9,42,40,25,133,114,29,35.6666,6.8,92,24.1
4/8/2007,4,8.3,6.7,5.8,5.8,4,23.5,30.2,34.7,29.1,26.9,22.4,24,28,8,54,60,13,20,5.7666,42.3333,27.8
8/8/2007,4,9.1,5.8,5,5.8,4,20.1,23.5,26.9,41.4,44.8,48.1,27,16,12,99,46,22,18.3333,5.6166,55.6666,34.1333
11/8/2007,4,,,7.5,5.8,9.1,60.9,,,32.5,60.4,67.1,,7,12,,53,22,9.5,6.6,37.5,55.225
18/08/2007,,7.5,,4,5.8,6.7,,20.1,,29.8,15.7,13.4,38,29,12,148,41,28,26.3333,6,72.3333,19.75
22/08/2007,5.8,9.3,4.2,5,6.7,4,17.9,23.7,25.7,20.1,23.5,20.1,33,22,17,36,23,20,24,5.8333,26.3333,21.8333
25/08/2007,9.8,4,5,9.1,7.5,9.1,34.6,23,28,34.7,28,17.9,29,24,13,35,32,33,22,7.4166,33.3333,27.7
19/01/2008,4,4,4,4,4,4,20.1,21.3,24.6,22.4,13.4,15.7,65,81,64,139,128,97,70,4,121.3333,19.5833
23/01/2008,,,4,4,4,4,,,19,25.7,22.4,20.1,,95,75,,165,100,85,4,132.5,21.8
30/01/2008,,,,4,4,4,,,,12.7,13.4,13.4,,,142,,,144,,,,
3/4/2007,,,7.5,5,,,,,31.3,39.2,,,,77,,,188,,,,,
10/4/2007,4,9.1,4.2,4,,,21.3,51.5,17.9,23.5,,,49,42,,125,81,,45.5,5.325,103,28.55
13/04/2007,4.2,6.7,,,,,42.5,52.6,,,,,66,,,105,,,,,,
17/04/2007,10,12.5,,,,,58.2,64.9,,,,,61,,,112,,,,,,
20/04/2007,7.5,4,4,,,4,58.2,73.9,53.7,,,24.6,32,,7,65,,25,19.5,4.875,45,52.6
24/04/2007,5,4,4,22.4,9.1,5,26.9,35.8,24.6,41.4,21.3,43.6,41,32,51,79,44,154,41.3333,8.25,92.3333,32.2666
27/04/2007,5,4,4,16.6,,,26.9,35.8,24.6,42.5,,,50,61,,132,69,,55.5,7.4,100.5,32.45
1/9/2007,4,5.8,13.3,10,5,4,23.5,16.8,34.3,10.4,10.1,9,20,59,12,36,96,28,30.3333,7.0166,53.3333,17.35
5/9/2007,4,4,4,4,11.6,4.2,32.5,21.3,12.3,10.1,9,14.5,38,22,7,86,45,10,22.3333,5.3,47,16.6166
2/1/2008,6.5,4.4,5.7,10.8,4,4,29,35.8,35.8,20.1,17.9,16.8,88,88,195,160,112,224,123.6666,5.9,165.3333,25.9
5/1/2008,4,5.8,5,4,5,4,30.9,16.8,16.8,22.4,33.6,23.5,37,57,70,85,88,103,54.6666,4.6333,92,24
9/1/2008,4,10.8,5,12.5,12.5,4,22.4,28,19,44.8,34.7,32.5,58,123,80,132,175,121,87,8.1333,142.6666,30.2333
12/1/2008,11.4,5,8.3,8.3,5,15,40.9,45.9,39.2,35.8,31.3,33.6,63,202,85,108,209,92,116.6666,8.8333,136.3333,37.7833
17/11/2007,4,4,8.2,24.9,10.8,7.5,45.1,29.8,28.1,47,41.4,39.2,164,42,70,203,141,91,92,9.9,145,38.4333
21/11/2007,4,4,4,4,4,4,18.7,10.1,25.8,19,22.4,33.6,52,74,87,165,100,89,71,4,118,21.6
24/11/2007,,4,4,4,4.2,4,,35.8,39.2,10.1,10.1,10.1,61,95,95,148,189,118,83.6666,4.04,151.6666,21.06
28/11/2007,,4,4,4,4.2,4,,32.5,23.5,23.7,13.4,12.3,80,62,14,126,78,37,52,4.04,80.3333,21.08
6/10/2007,4,4,6,5.6,5.8,7.5,39.2,29.1,39.1,25,26.9,35.8,113,15,12,129,82,21,46.6666,5.4833,77.3333,32.5166
10/10/2007,4,4,4,4,5,4,17.3,14.9,11.2,14.9,9,9,65,66,55,104,112,68,62,4.1666,94.6666,12.7166
13/10/2007,4,8.6,4,5.7,4,4,28,34.8,22.4,25.6,30.2,39.2,62,48,46,113,87,66,52,5.05,88.6666,30.0333
17/10/2007,4,4,10,4,4,10,44.8,33.6,31.3,34.3,25.7,22.4,85,95,26,101,103,33,68.6666,6,79,32.0166
24/10/2007,7.3,6.7,4.6,4,4,4,45.6,15.7,22.1,13.4,13.4,15.7,66,37,27,73,78,30,43.3333,5.1,60.3333,20.9833
27/10/2007,4,4,14,8.6,4,4,11.4,10.1,14.8,17.9,11.2,13.4,48,30,24,83,41,32,34,6.4333,52,13.1333
31/10/2007,4,6.3,4.2,4,4,4,17.9,17.1,16.8,12.3,13.4,14.5,41,64,22,49,112,50,42.3333,4.4166,70.3333,15.3333
23/05/2007,12.5,6.7,10.8,,13.3,4,24.6,29.4,77.2,,16.8,20.1,42,,23,56,,24,32.5,9.46,40,33.62
29/08/2007,4,6.7,7.5,5,4,10.8,16.4,12.3,12.3,12.3,12.3,12.3,47,11,17,52,34,32,25,6.3333,39.3333,12.9833
8/9/2007,5,6.7,4,7.5,5.8,4.2,23.5,22.4,26.9,9,15.7,20.1,37,23,6,85,69,8,22,5.5333,54,19.6
12/9/2007,6.3,6.7,6.3,4.2,7.5,7.5,18.3,17.9,24.4,20.1,24.6,21.3,35,16,14,66,23,19,21.6666,6.4166,36,21.1
19/09/2007,4.7,9.1,7.5,4,,,23.7,26.9,19,28.3,,,14,24,,51,43,,19,6.325,47,24.475
22/09/2007,4,4.2,,,4,4,57.6,39.2,,,56,48.1,19,,12,77,,15,15.5,4.05,46,50.225
26/09/2007,4,4,4,4,4,4,15.7,107.4,11.2,10.5,11.2,9.8,20,21,7,62,34,35,16,4,43.6666,27.6333
29/09/2007,9.1,4,,,,,15.7,12.3,,,,,45,,,83,,,,,,
2/2/2008,4,4.2,5.8,4,4,4,17.9,28,22.4,19,15.7,12.3,135,138,54,186,141,76,109,4.3333,134.3333,19.2166
6/2/2008,4,5,4,4,4,4.2,19.7,28,12.3,20.1,17.9,15.7,165,79,62,170,198,80,102,4.2,149.3333,18.95
9/2/2008,,4,4,4,4,4,,42.5,22.4,22.4,16.8,12.3,85,71,75,89,93,93,77,4,91.6666,23.28
13/02/2008,4,5.8,8.3,4,4,4,78.8,26.9,52.6,54.8,43.6,32.5,34,117,48,146,166,53,66.3333,5.0166,121.6666,48.2
16/02/2008,4,4,4,4,4,4,12.4,10.1,9.5,17.4,10.1,20.1,32,76,70,119,166,85,59.3333,4,123.3333,13.2666
20/02/2008,,,6.2,4,4,4,,,25.1,21.3,16.8,14.5,,80,84,,183,134,82,4.55,158.5,19.425
23/02/2008,4.8,5.8,4,6.7,4,4,14.1,21.3,17.9,22.4,23.5,16.8,66,112,62,123,128,124,80,4.8833,125,19.3333
27/02/2008,4,5.8,4,4,8.3,4,19.7,14.5,23.5,26.9,21.3,14.5,175,89,53,189,323,123,105.6666,5.0166,211.6666,20.0666
1/3/2008,,4,4,4,5,10.8,,17.9,20.1,16.8,12.3,10.1,116,44,30,169,95,36,63.3333,5.56,100,15.44
5/3/2008,6.1,5,5.8,4,4,4,22.7,28,32.5,23.5,20.1,16.8,94,81,66,156,90,127,80.3333,4.8166,124.3333,23.9333
2/5/2007,6.7,10.6,2,16.6,12.5,6.7,32.5,44.2,51.5,59.3,73.9,49.2,44,36,6,134,137,41,28.6666,9.1833,104,51.7666
5/5/2007,9.1,14.1,,2,,,40.3,52.6,,73.5,,,41,,,67,,,,,,
9/5/2007,2,12.2,,,14.1,4.3,40.3,65.7,,,42.5,41.4,26,,15,76,,16,20.5,8.15,46,47.475
12/5/2007,2,2,5.3,5,,,29.1,23.5,35.3,35.8,,,32,34,,51,61,,33,3.575,56,30.925
16/05/2007,2,9.1,7.5,2,11.6,2,26.9,42.5,26.9,40.3,53.7,17.9,28,40,28,59,92,33,32,5.7,61.3333,34.7
19/05/2007,2,9.1,11.6,9.1,,,26.9,26.9,21.3,16.8,,,89,31,,93,69,,60,7.95,81,22.975
26/05/2007,2,2,13.3,6.7,8.3,,29.1,16.8,26.3,53.7,29.1,,16,22,,24,39,,19,6.46,31.5,31
30/05/2007,4.2,7.5,,9.1,10,5,51.5,25.7,,14.5,47,40.3,17,,6,74,,17,11.5,7.16,45.5,35.8
2/6/2007,4.2,4,5,10,,,17.9,29.1,28,38,,,25,64,,53,77,,44.5,5.8,65,28.25
6/6/2007,,,4,5.8,8.3,12.5,,,22.4,20.1,16.8,13.4,,21,18,,37,27,19.5,7.65,32,18.175
9/6/2007,,,,,10.8,4,,,,,23.5,20.1,,,13,,,20,,,,
13/06/2007,4,4.8,5,5.8,4.2,4,28.3,20.5,23.5,16.8,21.3,15.7,35,60,9,93,76,48,34.6666,4.6333,72.3333,21.0166
16/06/2007,4,4.2,7.5,9.1,5.8,4,21.3,35.8,32.5,21.3,22.4,19,46,95,12,82,127,82,51,5.7666,97,25.3833
20/06/2007,5,4.2,7.5,4,4,4,17.9,23.5,21.3,16.8,14.5,12.3,49,30,32,139,51,35,37,4.7833,75,17.7166
23/06/2007,,4.2,8.6,4,,,,39.2,24.3,20.7,,,27,24,,61,35,,25.5,,48,
27/06/2007,4,7.5,10.8,6.6,5,4,25.1,33.6,36.9,28,33.6,20.1,47,41,36,77,63,62,41.3333,6.3166,67.3333,29.55
30/06/2007,5.8,7.5,4,4,7.6,8,19,26.9,23.5,24.3,26.9,30,53,30,34,68,46,42,39,6.15,52,25.1
3/10/2007,4.2,16.2,2,2,5,2,15.7,111.3,12.3,11.2,9,12.3,39,8,22,82,49,28,23,5.23333333,53,28.63333333
3/3/2007,7.5,10.8,14.1,17.5,20,11.6,14.5,19,21.3,16.8,12.3,15.7,55,72,36,86,165,64,54.33333333,13.58333333,105,16.6
7/3/2007,,10.8,14.1,15.8,12.5,9.1,,19,23.5,20.1,17.9,14.5,65,82,70,172,124,115,72.33333333,12.46,137,19
10/3/2007,7.5,10.8,14.1,17.5,,,12.3,15.7,16.8,13.4,,,47,56,,84,93,,51.5,12.475,88.5,14.55
14/03/2007,,,8.3,10.8,12.5,7.5,,,19,20.1,23.5,16.8,,54,72,,124,92,63,9.775,108,19.85
17/03/2007,9.1,11.6,15,13.3,10.8,9.1,14.5,19,26.9,32.5,21.3,14.5,87,64,65,97,121,72,72,11.48333333,96.66666667,21.45
24/03/2007,11,,,15.4,11.6,8.3,22.8,,,29.3,23.5,14.5,,,42,,,66,,11.575,,22.525
28/03/2007,,,10.8,14.1,16.6,13.3,,,20.1,23.5,33.6,15.7,,89,53,,114,73,71,13.7,93.5,23.225
3/2/2007,2,11.6,7.5,2,5,12.5,63.8,28,38,44.8,33.6,31.3,73,58,68,89,122,93,66.33333333,6.76666667,101.33333333,39.91666667
7/2/2007,5.8,2,4.2,2,2,2,25.7,30.2,35.8,32.5,38,34.7,65,93,69,112,202,93,75.66666667,3,135.66666667,32.81666667
10/2/2007,4.2,7.5,12,5.8,5,2,30.2,32.5,43,30.2,38,40.3,58,41,55,85,121,83,51.33333333,6.08333333,96.33333333,35.7
21/02/2007,2,2,2,2,12.5,4.2,16.8,43.4,21.3,17.9,53.7,40.3,60,73,47,149,159,144,60,4.11666667,150.66666667,32.23333333
4/7/2007,5.8,4,4,4,6.7,7.5,21.3,17.9,19,20.1,15.7,23.5,34,34,22,50,41,28,30,5.3333,39.6666,19.5833
7/7/2007,4,6.7,8.3,6.7,,,24.6,20.1,26.9,25.4,,,68,42,,103,160,,55,6.425,131.5,24.25
11/7/2007,4,4.2,5.8,9,6.7,8.3,20.1,29.1,26.9,18.8,19,16.8,35,34,18,87,39,24,29,6.3333,50,21.7833
14/07/2007,4,7.5,6.7,8.3,5,4.2,26.9,20.1,26.9,21.3,17.9,16.8,53,59,14,76,97,54,42,5.95,75.6666,21.65
18/07/2007,5.8,6.7,5,6.7,4,11.6,17.9,22.4,19,20.1,14.5,16.8,44,27,31,59,41,33,34,6.6333,44.3333,18.45
21/07/2007,4,11.6,4,4,4,4,19,22.4,17.9,28,20.1,16.8,29,30,21,71,51,28,26.6666,5.2666,50,20.7
25/07/2007,4,11.1,6.7,5.8,4,4,21.3,23.9,22.4,20.1,17.9,16.8,13,16,7,40,29,16,12,5.9333,28.3333,20.4
28/07/2007,4,5,6.7,7.5,4,4.2,22.1,50.4,26.9,20.1,29.1,24.6,17,20,16,32,24,29,17.6666,5.2333,28.3333,28.8666
1/12/2007,8.9,,4,4,4,7.5,13.4,,17.9,12.3,10.1,14.5,80,84,30,187,123,40,64.6666,5.68,116.6666,13.64
5/12/2007,,4,4,4,4,4,,19,21.3,19,21.3,77.2,36,48,23,137,89,51,35.6666,4,92.3333,31.56
8/12/2007,,10.6,4.6,4,4,4,,15.5,12.3,19.7,16.8,13.4,49,39,25,66,99,29,37.6666,5.44,64.6666,15.54
12/12/2007,,4,12.5,4,4,7.5,,15.7,12.3,20.5,31.3,17.9,44,62,67,132,125,81,57.6666,6.4,112.6666,19.54
15/12/2007,4,5,6.7,4.2,4,4,28.3,23.5,15.7,15.7,14.5,17.9,69,58,39,109,110,53,55.3333,4.65,90.6666,19.2666
